Sample,PC1,PC2,Label,Name
R1_15,-47.35,-16.5175,15 h,R1
R1_20,-27.9865,9.0717,20 h,R1
R1_25,0.402125,13.3705,25 h,R1
R1_30,26.9355,0.06266,30 h,R1
R1_35,18.641,4.761,35 h,R1
R2_15,-46.552,-11.2265,15 h,R2
R2_20,-23.506,11.5415,20 h,R2
R2_25,-5.2111,14.6895,25 h,R2
R2_30,20.351,3.2853,30 h,R2
R2_35,28.629,-16.2275,35 h,R2
R3_15,-35.137,-15.626,15 h,R3
R3_20,-20.821,15.32,20 h,R3
R3_25,10.4064,11.575,25 h,R3
R3_30,27.3445,0.4847805,30 h,R3
R3_35,40.441,-10.635,35 h,R3
R4_15,-46.515,-8.802,15 h,R4
R4_20,-16.2475,9.74735,20 h,R4
R4_25,7.05615,7.4895,25 h,R4
R4_30,23.8295,-2.8833,30 h,R4
R4_35,34.7575,-14.795,35 h,R4
